_id,code,description,name,_ColourGroup,_GraphicalAppearance,_GarmentGroup,_PerceivedColourValue,_PerceivedColourMaster,_Department,_Index,_ProductType
668,0472755002,"Running gloves with uppers in windproof, functional fabric. Wide ribbing and a reflective print at the top. Small key pocket with a concealed zip on the back of one glove. The tops of the thumb and index finger are made from touchscreen-compatible material. Unlined.",Ben runner gloves,450,0,405,422,430,55,391,535
688,0111565001,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier.",20 den 1p Stockings,450,0,403,422,430,32,387,502
697,0568601006,"Fitted jacket in woven fabric with notch lapels, jetted front pockets, a decorative button at the cuffs and a single back vent. Lined.",Mariette Blazer,450,0,413,422,430,239,386,538
702,0501620013,"Short-sleeved shirt in a cotton weave with a turn-down collar and classic front. Yoke at the back, a chest pocket, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette.",BORIS SS SHIRT,451,0,411,423,431,167,389,529
703,0568601008,"Fitted jacket in woven fabric with notch lapels, jetted front pockets, a decorative button at the cuffs and a single back vent. Lined.",Mariette,457,0,413,424,433,239,386,538
736,0391750011,"Suit trousers in woven fabric with a concealed hook-and-eye fastening and zip fly. Side pockets, jetted back pockets with a button and legs with creases. Slim fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette. For the matching jacket, search on 0241602.",Manson trs,455,0,412,425,433,131,389,507
737,0111586001,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.,Shape Up 30 den 1p Tights,450,0,403,422,430,32,387,504
766,0391750015,"Suit trousers in woven fabric with a concealed hook-and-eye fastening and zip fly. Side pockets, jetted back pockets with a button and legs with creases. Slim fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette. For the matching jacket, search on 0241602.",Manson trs,458,0,412,422,434,131,389,507
769,0391772001,"Suit trousers in woven fabric with diagonal side pockets and jetted back pockets. Zip fly with a concealed hook-and-eye fastener, and legs with creases. Regular fit – a classic fit with good room for movement over the thighs and knees to create a comfortable, straight silhouette. For the matching jacket search on 0241590.",Matt regular trs,450,0,412,422,430,131,389,507
814,0568601037,"Fitted jacket in woven fabric with notch lapels, jetted front pockets, a decorative button at the cuffs and a single back vent. Lined.",Mariette Blazer,466,0,413,424,435,239,386,538
952,0123173001,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.,Control Top 50 den 1p Tights,450,0,403,422,430,32,387,504
1006,0130035001,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.,Black Umbrella,450,0,405,422,430,39,390,509
1044,0577396001,"Short dress in a crinkled cotton weave with embroidery. Round neck with an opening and ties at the top, long, wide raglan sleeves with narrow elastication at the cuffs, a drawstring seam at the waist and flared skirt with inset lace trims. Lined skirt.",Rose EMB boho dress (1),451,0,415,423,431,235,386,525
1051,0519728002,"Flared, calf-length skirt in viscose crêpe with a concealed zip at the waist. Unlined.",W Lexi,461,0,416,422,437,150,386,523
1123,0501820003,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",SIRPA,461,3,410,422,437,157,393,505
1135,0501820006,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",SIRPA,453,3,410,424,432,157,393,505
1158,0537955002,"Off-the-shoulder top in a soft rib-knit with a V-neck, narrow shoulder straps and long sleeves with concealed silicone trim at the top.",Sylvia L/S,450,0,410,422,430,157,393,505
1159,0501820008,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",SIRPA,478,0,410,422,445,157,393,505
1169,0153115019,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support.",OP Strapless^,450,0,402,422,430,31,387,501
1175,0153115021,"Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support.",OP Strapless^,451,0,402,423,431,31,387,501
1224,0156224002,Semi-matte socks with a short shaft. 20 denier.,Box 4p Socks,450,0,403,422,430,32,387,513
1238,0577425003,Fine-knit trainer socks in a soft cotton blend with elasticated tops.,7pk sneaker fancy,478,2,403,422,445,96,389,503
1303,0501820044,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",SIRPA,458,3,410,422,434,157,393,505
1434,0561445006,"Short-sleeved, fitted jersey top with a slightly deeper neckline.",Billie,451,0,401,423,431,30,386,524
1443,0577513001,Short dress in a sturdy weave with short puff sleeves and a concealed zip at the back. Fitted bodice and bell-shaped skirt.,Wendy,458,0,415,422,434,194,386,525
1474,0561445025,"Short-sleeved, fitted jersey top with a slightly deeper neckline.",Billie.,450,1,401,422,430,30,386,524
1496,0577513003,Short dress in a sturdy weave with short puff sleeves and a concealed zip at the back. Fitted bodice and bell-shaped skirt.,Wendy (1),450,0,415,422,430,194,386,525
1536,0156227001,Four pairs of knee highs. 20 denier.,Box 4p Kneehighs,450,0,403,422,430,32,387,502
1538,0156227002,Four pairs of knee highs. 20 denier.,Box 4p Kneehighs,454,0,403,425,432,32,387,502
1541,0156231001,Matt tights with an elasticated waist. 20 denier.,Box 4p Tights,450,0,403,422,430,32,387,502
1565,0476315028,"Short-sleeved polo shirt in cotton jersey with a collar, button placket and slits in the sides.",Fav polo solid,458,0,404,422,434,176,389,549
1582,0160442007,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",3p Sneaker Socks,450,0,403,422,430,44,387,503
1583,0160442010,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",3p Sneaker Socks,451,0,403,423,431,44,387,503
1586,0160442043,"Short, fine-knit socks designed to be hidden by your shoes with a silicone trim at the back of the heel to keep them in place.",3p Sneaker Socks,457,3,403,425,433,44,387,503
1620,0396135007,"Short shorts in sweatshirt fabric with an elasticated, drawstring jersey waistband, side pockets and rounded hems.",Glamping,450,0,401,422,430,30,386,528
1642,0577648001,"Cropped off-the-shoulder jumper in a soft, fine knit with wide sleeves and ribbing around the neckline, cuffs and hem.",Blondie Hairy Off Shoulder,459,3,410,422,433,157,393,505
1791,0538699001,Jersey top with a V-neck and narrow shoulder straps.,V-neck strap top,450,0,401,422,430,30,386,500
1796,0538699007,Jersey top with a V-neck and narrow shoulder straps.,V-neck strap top,451,0,401,423,431,30,386,500
1824,0519847001,"Jumper in a soft knit containing some wool with a V-neck, low dropped shoulders and roll edges at the cuffs and hem. Longer at the back.",Jupiter v-neck,457,3,410,424,433,199,386,505
1853,0398089004,"Shorts in washed denim with a regular waist, side and back pockets, and sewn-in turn-ups at the hems.",Shorts R.W Bargain,469,0,406,423,434,98,393,528
1884,0568838008,"Short, sleeveless dress in a crêpe weave with pleats at the top and a small opening at the back. Lined.",Katsu,466,2,415,424,435,194,386,525
1937,0577992001,"Brazilian briefs in cotton jersey and lace with a low waist, lined gusset, wide sides and half-string back.",Frenchy Thong (Maple)Low 3p,466,0,402,424,435,34,387,521
2109,0179123001,Jersey leggings with an elasticated waist.,Long Leggings,450,0,401,422,430,30,386,504
2113,0179123040,Jersey leggings with an elasticated waist.,Long Leggings (1),459,3,401,422,433,30,386,504
2155,0478298012,Hairbands in elasticated cotton jersey.,2p jersey headband,450,2,405,422,430,38,390,516
2159,0179393018,Fine-knit over-the-knee socks.,Basic 2p Overknee,459,3,403,425,433,45,387,503
2170,0399061032,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets.",Jacket Slim,450,7,407,422,430,138,386,542
2171,0179950001,Leather belt with a metal buckle. Width 2.5 cm.,Austin basic leather hip belt,450,0,405,422,430,49,390,517
2177,0399061033,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets.",Jacket Slim (1),456,7,407,424,434,138,386,542
2198,0399087001,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",Super Skinny L.W Epic,450,0,406,422,430,104,393,507
2211,0399087010,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",Super Skinny L.W Epic,469,7,406,425,434,104,393,507
2231,0399087014,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",S.Skinny L.W Epic,469,7,406,423,434,104,393,507
