src,dest,relationship
500,632,PERTENCE
501,633,PERTENCE
502,634,PERTENCE
503,634,PERTENCE
504,635,PERTENCE
505,632,PERTENCE
506,632,PERTENCE
507,635,PERTENCE
508,636,PERTENCE
509,637,PERTENCE
510,638,PERTENCE
511,632,PERTENCE
512,636,PERTENCE
513,639,PERTENCE
514,632,PERTENCE
515,640,PERTENCE
516,636,PERTENCE
517,636,PERTENCE
518,641,PERTENCE
519,642,PERTENCE
520,642,PERTENCE
521,633,PERTENCE
522,642,PERTENCE
523,635,PERTENCE
524,632,PERTENCE
525,643,PERTENCE
526,636,PERTENCE
527,633,PERTENCE
528,635,PERTENCE
529,632,PERTENCE
530,636,PERTENCE
531,638,PERTENCE
532,641,PERTENCE
533,636,PERTENCE
534,632,PERTENCE
535,636,PERTENCE
536,636,PERTENCE
537,636,PERTENCE
538,632,PERTENCE
539,641,PERTENCE
540,643,PERTENCE
541,641,PERTENCE
542,632,PERTENCE
543,636,PERTENCE
544,643,PERTENCE
545,633,PERTENCE
546,636,PERTENCE
547,632,PERTENCE
548,636,PERTENCE
549,632,PERTENCE
550,641,PERTENCE
551,638,PERTENCE
552,636,PERTENCE
553,636,PERTENCE
554,636,PERTENCE
555,632,PERTENCE
556,636,PERTENCE
557,641,PERTENCE
558,636,PERTENCE
559,638,PERTENCE
560,636,PERTENCE
561,636,PERTENCE
562,632,PERTENCE
563,643,PERTENCE
564,636,PERTENCE
565,633,PERTENCE
566,636,PERTENCE
567,636,PERTENCE
568,640,PERTENCE
569,643,PERTENCE
570,635,PERTENCE
571,636,PERTENCE
572,642,PERTENCE
573,642,PERTENCE
574,641,PERTENCE
575,643,PERTENCE
576,636,PERTENCE
577,636,PERTENCE
578,641,PERTENCE
579,633,PERTENCE
580,632,PERTENCE
581,641,PERTENCE
582,641,PERTENCE
583,636,PERTENCE
584,641,PERTENCE
585,644,PERTENCE
586,641,PERTENCE
587,633,PERTENCE
588,644,PERTENCE
589,636,PERTENCE
590,636,PERTENCE
591,633,PERTENCE
592,633,PERTENCE
593,633,PERTENCE
594,633,PERTENCE
595,642,PERTENCE
596,634,PERTENCE
597,645,PERTENCE
598,636,PERTENCE
599,646,PERTENCE
600,646,PERTENCE
601,645,PERTENCE
602,646,PERTENCE
603,636,PERTENCE
604,636,PERTENCE
605,641,PERTENCE
606,641,PERTENCE
607,636,PERTENCE
608,646,PERTENCE
609,647,PERTENCE
610,636,PERTENCE
611,636,PERTENCE
612,636,PERTENCE
613,637,PERTENCE
614,636,PERTENCE
615,648,PERTENCE
616,648,PERTENCE
617,646,PERTENCE
618,641,PERTENCE
619,645,PERTENCE
620,648,PERTENCE
621,648,PERTENCE
622,637,PERTENCE
623,641,PERTENCE
624,649,PERTENCE
625,650,PERTENCE
626,646,PERTENCE
627,637,PERTENCE
628,636,PERTENCE
629,637,PERTENCE
630,648,PERTENCE
631,648,PERTENCE
