src,dest,relationship
668,55,PERTENCE
688,32,PERTENCE
697,239,PERTENCE
702,167,PERTENCE
703,239,PERTENCE
736,131,PERTENCE
737,32,PERTENCE
766,131,PERTENCE
769,131,PERTENCE
814,239,PERTENCE
952,32,PERTENCE
1006,39,PERTENCE
1044,235,PERTENCE
1051,150,PERTENCE
1123,157,PERTENCE
1135,157,PERTENCE
1158,157,PERTENCE
1159,157,PERTENCE
1169,31,PERTENCE
1175,31,PERTENCE
1224,32,PERTENCE
1238,96,PERTENCE
1303,157,PERTENCE
1434,30,PERTENCE
1443,194,PERTENCE
1474,30,PERTENCE
1496,194,PERTENCE
1536,32,PERTENCE
1538,32,PERTENCE
1541,32,PERTENCE
1565,176,PERTENCE
1582,44,PERTENCE
1583,44,PERTENCE
1586,44,PERTENCE
1620,30,PERTENCE
1642,157,PERTENCE
1791,30,PERTENCE
1796,30,PERTENCE
1824,199,PERTENCE
1853,98,PERTENCE
1884,194,PERTENCE
1937,34,PERTENCE
2109,30,PERTENCE
2113,30,PERTENCE
2155,38,PERTENCE
2159,45,PERTENCE
2170,138,PERTENCE
2171,49,PERTENCE
2177,138,PERTENCE
2198,104,PERTENCE
2211,104,PERTENCE
2231,104,PERTENCE
2239,104,PERTENCE
2251,30,PERTENCE
2260,104,PERTENCE
2267,104,PERTENCE
2274,104,PERTENCE
2290,165,PERTENCE
2313,32,PERTENCE
2345,146,PERTENCE
2362,104,PERTENCE
2386,38,PERTENCE
2408,68,PERTENCE
2415,104,PERTENCE
2425,104,PERTENCE
2427,104,PERTENCE
2430,104,PERTENCE
2433,37,PERTENCE
2446,104,PERTENCE
2452,104,PERTENCE
2458,104,PERTENCE
2469,104,PERTENCE
2476,49,PERTENCE
2481,104,PERTENCE
2510,104,PERTENCE
2544,104,PERTENCE
2559,104,PERTENCE
2566,51,PERTENCE
2578,104,PERTENCE
2582,104,PERTENCE
2584,104,PERTENCE
2604,78,PERTENCE
2608,78,PERTENCE
2612,78,PERTENCE
2617,78,PERTENCE
2629,78,PERTENCE
2665,120,PERTENCE
2667,51,PERTENCE
2668,120,PERTENCE
2683,51,PERTENCE
2702,173,PERTENCE
2706,157,PERTENCE
2710,53,PERTENCE
2714,53,PERTENCE
2728,104,PERTENCE
2736,99,PERTENCE
2740,99,PERTENCE
2749,78,PERTENCE
2777,104,PERTENCE
2880,30,PERTENCE
2977,188,PERTENCE
2997,130,PERTENCE
3012,42,PERTENCE
3014,53,PERTENCE
3020,44,PERTENCE
3023,117,PERTENCE
3062,117,PERTENCE
3084,44,PERTENCE
3198,178,PERTENCE
3207,178,PERTENCE
3221,103,PERTENCE
3228,33,PERTENCE
3236,178,PERTENCE
3237,103,PERTENCE
3241,103,PERTENCE
3292,78,PERTENCE
3296,32,PERTENCE
3367,110,PERTENCE
3370,77,PERTENCE
3371,77,PERTENCE
3383,53,PERTENCE
3397,53,PERTENCE
3401,53,PERTENCE
3411,54,PERTENCE
3444,98,PERTENCE
3446,98,PERTENCE
3496,178,PERTENCE
3527,38,PERTENCE
3538,41,PERTENCE
3586,62,PERTENCE
3747,164,PERTENCE
3823,45,PERTENCE
3839,45,PERTENCE
3865,44,PERTENCE
3891,44,PERTENCE
3908,41,PERTENCE
3913,41,PERTENCE
3916,44,PERTENCE
3933,110,PERTENCE
3935,53,PERTENCE
3969,110,PERTENCE
4052,59,PERTENCE
4072,186,PERTENCE
4139,78,PERTENCE
4156,53,PERTENCE
4162,53,PERTENCE
4177,64,PERTENCE
4186,78,PERTENCE
4190,30,PERTENCE
4219,186,PERTENCE
4250,186,PERTENCE
4263,138,PERTENCE
4325,78,PERTENCE
4334,49,PERTENCE
4368,78,PERTENCE
4441,32,PERTENCE
4464,32,PERTENCE
4484,65,PERTENCE
4585,32,PERTENCE
4637,30,PERTENCE
4644,70,PERTENCE
4647,191,PERTENCE
4675,71,PERTENCE
4717,30,PERTENCE
4722,33,PERTENCE
4762,30,PERTENCE
4890,35,PERTENCE
4898,35,PERTENCE
4905,153,PERTENCE
4941,63,PERTENCE
5002,165,PERTENCE
5004,53,PERTENCE
5009,153,PERTENCE
5014,54,PERTENCE
5028,210,PERTENCE
5030,44,PERTENCE
5053,210,PERTENCE
5058,73,PERTENCE
5129,153,PERTENCE
5137,153,PERTENCE
5208,105,PERTENCE
5223,66,PERTENCE
5234,32,PERTENCE
5245,153,PERTENCE
5282,103,PERTENCE
5289,153,PERTENCE
5292,103,PERTENCE
5374,31,PERTENCE
5387,31,PERTENCE
5457,34,PERTENCE
5569,92,PERTENCE
5575,92,PERTENCE
5588,92,PERTENCE
5593,92,PERTENCE
5637,238,PERTENCE
5701,34,PERTENCE
5724,34,PERTENCE
5806,77,PERTENCE
5810,77,PERTENCE
5836,34,PERTENCE
5871,34,PERTENCE
5986,108,PERTENCE
6007,80,PERTENCE
6076,45,PERTENCE
6116,62,PERTENCE
6118,103,PERTENCE
6132,103,PERTENCE
6137,103,PERTENCE
6152,98,PERTENCE
6155,34,PERTENCE
6186,227,PERTENCE
6190,103,PERTENCE
6196,103,PERTENCE
6201,62,PERTENCE
6202,103,PERTENCE
6206,103,PERTENCE
6213,103,PERTENCE
6222,103,PERTENCE
6230,103,PERTENCE
6241,77,PERTENCE
6290,153,PERTENCE
6333,103,PERTENCE
6378,103,PERTENCE
6391,103,PERTENCE
6398,103,PERTENCE
6412,97,PERTENCE
6417,87,PERTENCE
6424,87,PERTENCE
6440,77,PERTENCE
6443,97,PERTENCE
6447,77,PERTENCE
6452,77,PERTENCE
6453,77,PERTENCE
6499,77,PERTENCE
6524,77,PERTENCE
6667,32,PERTENCE
6704,257,PERTENCE
6708,257,PERTENCE
6716,199,PERTENCE
6727,257,PERTENCE
6772,186,PERTENCE
6795,257,PERTENCE
6907,257,PERTENCE
6938,110,PERTENCE
6973,257,PERTENCE
7017,257,PERTENCE
7045,257,PERTENCE
7053,30,PERTENCE
7111,69,PERTENCE
7114,30,PERTENCE
7143,34,PERTENCE
7156,30,PERTENCE
7165,34,PERTENCE
7180,30,PERTENCE
7183,30,PERTENCE
7192,142,PERTENCE
7285,87,PERTENCE
7316,77,PERTENCE
7426,30,PERTENCE
7429,30,PERTENCE
7504,49,PERTENCE
7533,34,PERTENCE
7539,31,PERTENCE
