src,dest,relationship
668,405,PERTENCE
688,403,PERTENCE
697,413,PERTENCE
702,411,PERTENCE
703,413,PERTENCE
736,412,PERTENCE
737,403,PERTENCE
766,412,PERTENCE
769,412,PERTENCE
814,413,PERTENCE
952,403,PERTENCE
1006,405,PERTENCE
1044,415,PERTENCE
1051,416,PERTENCE
1123,410,PERTENCE
1135,410,PERTENCE
1158,410,PERTENCE
1159,410,PERTENCE
1169,402,PERTENCE
1175,402,PERTENCE
1224,403,PERTENCE
1238,403,PERTENCE
1303,410,PERTENCE
1434,401,PERTENCE
1443,415,PERTENCE
1474,401,PERTENCE
1496,415,PERTENCE
1536,403,PERTENCE
1538,403,PERTENCE
1541,403,PERTENCE
1565,404,PERTENCE
1582,403,PERTENCE
1583,403,PERTENCE
1586,403,PERTENCE
1620,401,PERTENCE
1642,410,PERTENCE
1791,401,PERTENCE
1796,401,PERTENCE
1824,410,PERTENCE
1853,406,PERTENCE
1884,415,PERTENCE
1937,402,PERTENCE
2109,401,PERTENCE
2113,401,PERTENCE
2155,405,PERTENCE
2159,403,PERTENCE
2170,407,PERTENCE
2171,405,PERTENCE
2177,407,PERTENCE
2198,406,PERTENCE
2211,406,PERTENCE
2231,406,PERTENCE
2239,406,PERTENCE
2251,401,PERTENCE
2260,406,PERTENCE
2267,406,PERTENCE
2274,406,PERTENCE
2290,404,PERTENCE
2313,403,PERTENCE
2345,408,PERTENCE
2362,406,PERTENCE
2386,405,PERTENCE
2408,405,PERTENCE
2415,406,PERTENCE
2425,406,PERTENCE
2427,406,PERTENCE
2430,406,PERTENCE
2433,405,PERTENCE
2446,406,PERTENCE
2452,406,PERTENCE
2458,406,PERTENCE
2469,406,PERTENCE
2476,405,PERTENCE
2481,406,PERTENCE
2510,406,PERTENCE
2544,406,PERTENCE
2559,406,PERTENCE
2566,409,PERTENCE
2578,406,PERTENCE
2582,406,PERTENCE
2584,406,PERTENCE
2604,412,PERTENCE
2608,412,PERTENCE
2612,412,PERTENCE
2617,412,PERTENCE
2629,412,PERTENCE
2665,412,PERTENCE
2667,409,PERTENCE
2668,412,PERTENCE
2683,409,PERTENCE
2702,416,PERTENCE
2706,410,PERTENCE
2710,401,PERTENCE
2714,401,PERTENCE
2728,406,PERTENCE
2736,406,PERTENCE
2740,406,PERTENCE
2749,412,PERTENCE
2777,406,PERTENCE
2880,401,PERTENCE
2977,415,PERTENCE
2997,405,PERTENCE
3012,404,PERTENCE
3014,401,PERTENCE
3020,403,PERTENCE
3023,406,PERTENCE
3062,406,PERTENCE
3084,403,PERTENCE
3198,418,PERTENCE
3207,418,PERTENCE
3221,412,PERTENCE
3228,401,PERTENCE
3236,418,PERTENCE
3237,412,PERTENCE
3241,412,PERTENCE
3292,412,PERTENCE
3296,403,PERTENCE
3367,415,PERTENCE
3370,402,PERTENCE
3371,402,PERTENCE
3383,401,PERTENCE
3397,401,PERTENCE
