src,dest,relationship
668,0,PERTENCE
688,0,PERTENCE
697,0,PERTENCE
702,0,PERTENCE
703,0,PERTENCE
736,0,PERTENCE
737,0,PERTENCE
766,0,PERTENCE
769,0,PERTENCE
814,0,PERTENCE
952,0,PERTENCE
1006,0,PERTENCE
1044,0,PERTENCE
1051,0,PERTENCE
1123,3,PERTENCE
1135,3,PERTENCE
1158,0,PERTENCE
1159,0,PERTENCE
1169,0,PERTENCE
1175,0,PERTENCE
1224,0,PERTENCE
1238,2,PERTENCE
1303,3,PERTENCE
1434,0,PERTENCE
1443,0,PERTENCE
1474,1,PERTENCE
1496,0,PERTENCE
1536,0,PERTENCE
1538,0,PERTENCE
1541,0,PERTENCE
1565,0,PERTENCE
1582,0,PERTENCE
1583,0,PERTENCE
1586,3,PERTENCE
1620,0,PERTENCE
1642,3,PERTENCE
1791,0,PERTENCE
1796,0,PERTENCE
1824,3,PERTENCE
1853,0,PERTENCE
1884,2,PERTENCE
1937,0,PERTENCE
2109,0,PERTENCE
2113,3,PERTENCE
2155,2,PERTENCE
2159,3,PERTENCE
2170,7,PERTENCE
2171,0,PERTENCE
2177,7,PERTENCE
2198,0,PERTENCE
2211,7,PERTENCE
2231,7,PERTENCE
2239,7,PERTENCE
2251,0,PERTENCE
2260,7,PERTENCE
2267,7,PERTENCE
2274,7,PERTENCE
2290,0,PERTENCE
2313,0,PERTENCE
2345,0,PERTENCE
2362,7,PERTENCE
2386,0,PERTENCE
2408,0,PERTENCE
2415,7,PERTENCE
2425,7,PERTENCE
2427,7,PERTENCE
2430,0,PERTENCE
2433,0,PERTENCE
2446,7,PERTENCE
2452,7,PERTENCE
2458,7,PERTENCE
2469,7,PERTENCE
2476,0,PERTENCE
2481,7,PERTENCE
2510,7,PERTENCE
2544,0,PERTENCE
2559,7,PERTENCE
2566,0,PERTENCE
2578,7,PERTENCE
2582,0,PERTENCE
2584,7,PERTENCE
2604,0,PERTENCE
2608,7,PERTENCE
2612,7,PERTENCE
2617,7,PERTENCE
2629,7,PERTENCE
2665,0,PERTENCE
2667,0,PERTENCE
2668,0,PERTENCE
2683,0,PERTENCE
2702,0,PERTENCE
2706,10,PERTENCE
2710,11,PERTENCE
2714,11,PERTENCE
2728,2,PERTENCE
2736,0,PERTENCE
2740,0,PERTENCE
2749,7,PERTENCE
2777,7,PERTENCE
2880,0,PERTENCE
2977,0,PERTENCE
2997,0,PERTENCE
3012,2,PERTENCE
3014,0,PERTENCE
3020,2,PERTENCE
3023,0,PERTENCE
3062,7,PERTENCE
3084,0,PERTENCE
3198,0,PERTENCE
3207,0,PERTENCE
3221,0,PERTENCE
3228,2,PERTENCE
3236,0,PERTENCE
3237,0,PERTENCE
3241,0,PERTENCE
3292,7,PERTENCE
3296,0,PERTENCE
3367,2,PERTENCE
3370,0,PERTENCE
3371,0,PERTENCE
3383,0,PERTENCE
3397,0,PERTENCE
3401,0,PERTENCE
3411,0,PERTENCE
3444,7,PERTENCE
3446,7,PERTENCE
3496,1,PERTENCE
3527,0,PERTENCE
3538,0,PERTENCE
3586,0,PERTENCE
3747,0,PERTENCE
3823,16,PERTENCE
3839,10,PERTENCE
3865,2,PERTENCE
3891,2,PERTENCE
3908,18,PERTENCE
3913,18,PERTENCE
3916,2,PERTENCE
3933,2,PERTENCE
3935,0,PERTENCE
3969,2,PERTENCE
4052,0,PERTENCE
4072,0,PERTENCE
4139,0,PERTENCE
4156,0,PERTENCE
4162,0,PERTENCE
4177,0,PERTENCE
4186,0,PERTENCE
4190,0,PERTENCE
4219,3,PERTENCE
4250,0,PERTENCE
4263,0,PERTENCE
4325,7,PERTENCE
4334,0,PERTENCE
4368,7,PERTENCE
4441,0,PERTENCE
4464,0,PERTENCE
4484,0,PERTENCE
4585,0,PERTENCE
4637,0,PERTENCE
4644,0,PERTENCE
4647,0,PERTENCE
4675,0,PERTENCE
4717,3,PERTENCE
4722,2,PERTENCE
4762,0,PERTENCE
4890,0,PERTENCE
4898,0,PERTENCE
4905,0,PERTENCE
4941,0,PERTENCE
5002,0,PERTENCE
5004,0,PERTENCE
5009,20,PERTENCE
5014,0,PERTENCE
5028,0,PERTENCE
5030,3,PERTENCE
5053,0,PERTENCE
5058,0,PERTENCE
5129,0,PERTENCE
5137,3,PERTENCE
5208,13,PERTENCE
5223,20,PERTENCE
5234,0,PERTENCE
5245,20,PERTENCE
5282,0,PERTENCE
5289,1,PERTENCE
5292,0,PERTENCE
5374,0,PERTENCE
5387,0,PERTENCE
5457,0,PERTENCE
5569,2,PERTENCE
5575,2,PERTENCE
5588,2,PERTENCE
5593,2,PERTENCE
5637,1,PERTENCE
5701,0,PERTENCE
5724,0,PERTENCE
5806,0,PERTENCE
5810,0,PERTENCE
5836,0,PERTENCE
5871,0,PERTENCE
5986,0,PERTENCE
6007,0,PERTENCE
6076,0,PERTENCE
6116,0,PERTENCE
6118,0,PERTENCE
6132,0,PERTENCE
6137,0,PERTENCE
6152,7,PERTENCE
6155,0,PERTENCE
6186,0,PERTENCE
6190,0,PERTENCE
6196,0,PERTENCE
6201,0,PERTENCE
6202,0,PERTENCE
6206,0,PERTENCE
6213,0,PERTENCE
6222,0,PERTENCE
6230,0,PERTENCE
6241,0,PERTENCE
6290,0,PERTENCE
6333,0,PERTENCE
6378,1,PERTENCE
6391,2,PERTENCE
6398,1,PERTENCE
6412,0,PERTENCE
6417,0,PERTENCE
6424,0,PERTENCE
6440,0,PERTENCE
6443,0,PERTENCE
6447,0,PERTENCE
6452,0,PERTENCE
6453,0,PERTENCE
6499,0,PERTENCE
6524,0,PERTENCE
6667,0,PERTENCE
6704,0,PERTENCE
6708,0,PERTENCE
6716,0,PERTENCE
6727,3,PERTENCE
6772,3,PERTENCE
6795,0,PERTENCE
6907,0,PERTENCE
6938,2,PERTENCE
6973,0,PERTENCE
7017,2,PERTENCE
7045,0,PERTENCE
7053,0,PERTENCE
7111,12,PERTENCE
7114,1,PERTENCE
7143,2,PERTENCE
7156,1,PERTENCE
7165,0,PERTENCE
7180,0,PERTENCE
7183,0,PERTENCE
7192,0,PERTENCE
7285,0,PERTENCE
7316,0,PERTENCE
7426,0,PERTENCE
7429,0,PERTENCE
7504,0,PERTENCE
7533,2,PERTENCE
7539,0,PERTENCE
7560,0,PERTENCE
7561,3,PERTENCE
7564,1,PERTENCE
7590,0,PERTENCE
7598,0,PERTENCE
7599,1,PERTENCE
7631,0,PERTENCE
7657,0,PERTENCE
7738,0,PERTENCE
7913,0,PERTENCE
7922,0,PERTENCE
7938,0,PERTENCE
7954,0,PERTENCE
7967,4,PERTENCE
7984,0,PERTENCE
8018,0,PERTENCE
8082,21,PERTENCE
8142,16,PERTENCE
8180,0,PERTENCE
8318,10,PERTENCE
8414,0,PERTENCE
8428,0,PERTENCE
8460,0,PERTENCE
8581,0,PERTENCE
8615,2,PERTENCE
8632,0,PERTENCE
8643,22,PERTENCE
8700,0,PERTENCE
8711,3,PERTENCE
8772,7,PERTENCE
8870,0,PERTENCE
8898,0,PERTENCE
8932,0,PERTENCE
8942,3,PERTENCE
8987,10,PERTENCE
8997,2,PERTENCE
9021,10,PERTENCE
9128,19,PERTENCE
9147,0,PERTENCE
9150,8,PERTENCE
9155,0,PERTENCE
9160,0,PERTENCE
9162,18,PERTENCE
9193,0,PERTENCE
9422,7,PERTENCE
9449,7,PERTENCE
9453,2,PERTENCE
9462,7,PERTENCE
9465,0,PERTENCE
9480,7,PERTENCE
9488,0,PERTENCE
9490,0,PERTENCE
9498,0,PERTENCE
9508,0,PERTENCE
9514,2,PERTENCE
9516,0,PERTENCE
9545,2,PERTENCE
9554,13,PERTENCE
9561,0,PERTENCE
9600,0,PERTENCE
9602,13,PERTENCE
9631,0,PERTENCE
9644,0,PERTENCE
9931,7,PERTENCE
9938,0,PERTENCE
9939,0,PERTENCE
9954,0,PERTENCE
10134,0,PERTENCE
10174,0,PERTENCE
10189,0,PERTENCE
10249,0,PERTENCE
10299,16,PERTENCE
10377,1,PERTENCE
10399,0,PERTENCE
10537,0,PERTENCE
10629,0,PERTENCE
10666,0,PERTENCE
10708,0,PERTENCE
10710,0,PERTENCE
10741,11,PERTENCE
10806,3,PERTENCE
10812,3,PERTENCE
10816,14,PERTENCE
10862,0,PERTENCE
