src,dest,relationship
668,391,PERTENCE
688,387,PERTENCE
697,386,PERTENCE
702,389,PERTENCE
703,386,PERTENCE
736,389,PERTENCE
737,387,PERTENCE
766,389,PERTENCE
769,389,PERTENCE
814,386,PERTENCE
952,387,PERTENCE
1006,390,PERTENCE
1044,386,PERTENCE
1051,386,PERTENCE
1123,393,PERTENCE
1135,393,PERTENCE
1158,393,PERTENCE
1159,393,PERTENCE
1169,387,PERTENCE
1175,387,PERTENCE
1224,387,PERTENCE
1238,389,PERTENCE
1303,393,PERTENCE
1434,386,PERTENCE
1443,386,PERTENCE
1474,386,PERTENCE
1496,386,PERTENCE
1536,387,PERTENCE
1538,387,PERTENCE
1541,387,PERTENCE
1565,389,PERTENCE
1582,387,PERTENCE
1583,387,PERTENCE
1586,387,PERTENCE
1620,386,PERTENCE
1642,393,PERTENCE
1791,386,PERTENCE
1796,386,PERTENCE
1824,386,PERTENCE
1853,393,PERTENCE
1884,386,PERTENCE
1937,387,PERTENCE
2109,386,PERTENCE
2113,386,PERTENCE
2155,390,PERTENCE
2159,387,PERTENCE
2170,386,PERTENCE
2171,390,PERTENCE
2177,386,PERTENCE
2198,393,PERTENCE
2211,393,PERTENCE
2231,393,PERTENCE
2239,393,PERTENCE
2251,386,PERTENCE
2260,393,PERTENCE
2267,393,PERTENCE
2274,393,PERTENCE
2290,391,PERTENCE
2313,387,PERTENCE
2345,390,PERTENCE
2362,393,PERTENCE
2386,390,PERTENCE
2408,390,PERTENCE
2415,393,PERTENCE
2425,393,PERTENCE
2427,393,PERTENCE
2430,393,PERTENCE
2433,390,PERTENCE
2446,393,PERTENCE
2452,393,PERTENCE
2458,393,PERTENCE
2469,393,PERTENCE
2476,390,PERTENCE
2481,393,PERTENCE
2510,393,PERTENCE
2544,393,PERTENCE
2559,393,PERTENCE
2566,387,PERTENCE
2578,393,PERTENCE
2582,393,PERTENCE
2584,393,PERTENCE
2604,386,PERTENCE
2608,386,PERTENCE
2612,386,PERTENCE
2617,386,PERTENCE
2629,386,PERTENCE
2665,386,PERTENCE
2667,387,PERTENCE
2668,386,PERTENCE
2683,387,PERTENCE
2702,386,PERTENCE
2706,393,PERTENCE
2710,393,PERTENCE
2714,393,PERTENCE
2728,393,PERTENCE
2736,386,PERTENCE
2740,386,PERTENCE
2749,386,PERTENCE
2777,393,PERTENCE
2880,386,PERTENCE
2977,386,PERTENCE
2997,390,PERTENCE
3012,391,PERTENCE
3014,393,PERTENCE
3020,387,PERTENCE
3023,394,PERTENCE
3062,394,PERTENCE
3084,387,PERTENCE
3198,393,PERTENCE
3207,393,PERTENCE
3221,393,PERTENCE
3228,388,PERTENCE
3236,393,PERTENCE
3237,393,PERTENCE
3241,393,PERTENCE
3292,386,PERTENCE
3296,387,PERTENCE
3367,393,PERTENCE
3370,387,PERTENCE
3371,387,PERTENCE
3383,393,PERTENCE
3397,393,PERTENCE
3401,393,PERTENCE
3411,393,PERTENCE
3444,393,PERTENCE
3446,393,PERTENCE
3496,393,PERTENCE
3527,390,PERTENCE
3538,391,PERTENCE
3586,390,PERTENCE
3747,391,PERTENCE
3823,387,PERTENCE
3839,387,PERTENCE
3865,387,PERTENCE
3891,387,PERTENCE
3908,391,PERTENCE
3913,391,PERTENCE
3916,387,PERTENCE
3933,393,PERTENCE
3935,393,PERTENCE
3969,393,PERTENCE
4052,387,PERTENCE
4072,386,PERTENCE
4139,386,PERTENCE
4156,393,PERTENCE
4162,393,PERTENCE
4177,389,PERTENCE
4186,386,PERTENCE
4190,386,PERTENCE
4219,386,PERTENCE
4250,386,PERTENCE
4263,386,PERTENCE
4325,386,PERTENCE
4334,390,PERTENCE
4368,386,PERTENCE
4441,387,PERTENCE
4464,387,PERTENCE
4484,393,PERTENCE
4585,387,PERTENCE
4637,386,PERTENCE
4644,393,PERTENCE
4647,389,PERTENCE
4675,390,PERTENCE
4717,386,PERTENCE
4722,388,PERTENCE
4762,386,PERTENCE
4890,389,PERTENCE
4898,389,PERTENCE
4905,389,PERTENCE
4941,390,PERTENCE
5002,391,PERTENCE
5004,393,PERTENCE
5009,389,PERTENCE
5014,393,PERTENCE
5028,390,PERTENCE
5030,387,PERTENCE
5053,390,PERTENCE
5058,386,PERTENCE
5129,389,PERTENCE
5137,389,PERTENCE
5208,393,PERTENCE
5223,389,PERTENCE
5234,387,PERTENCE
5245,389,PERTENCE
5282,393,PERTENCE
5289,389,PERTENCE
5292,393,PERTENCE
5374,387,PERTENCE
5387,387,PERTENCE
5457,387,PERTENCE
5569,386,PERTENCE
5575,386,PERTENCE
5588,386,PERTENCE
5593,386,PERTENCE
5637,394,PERTENCE
5701,387,PERTENCE
5724,387,PERTENCE
5806,387,PERTENCE
5810,387,PERTENCE
5836,387,PERTENCE
5871,387,PERTENCE
5986,390,PERTENCE
6007,394,PERTENCE
6076,387,PERTENCE
6116,390,PERTENCE
6118,393,PERTENCE
6132,393,PERTENCE
6137,393,PERTENCE
6152,393,PERTENCE
6155,387,PERTENCE
6186,386,PERTENCE
6190,393,PERTENCE
6196,393,PERTENCE
