src,dest,relationship
668,422,PERTENCE
688,422,PERTENCE
697,422,PERTENCE
702,423,PERTENCE
703,424,PERTENCE
736,425,PERTENCE
737,422,PERTENCE
766,422,PERTENCE
769,422,PERTENCE
814,424,PERTENCE
952,422,PERTENCE
1006,422,PERTENCE
1044,423,PERTENCE
1051,422,PERTENCE
1123,422,PERTENCE
1135,424,PERTENCE
1158,422,PERTENCE
1159,422,PERTENCE
1169,422,PERTENCE
1175,423,PERTENCE
1224,422,PERTENCE
1238,422,PERTENCE
1303,422,PERTENCE
1434,423,PERTENCE
1443,422,PERTENCE
1474,422,PERTENCE
1496,422,PERTENCE
1536,422,PERTENCE
1538,425,PERTENCE
1541,422,PERTENCE
1565,422,PERTENCE
1582,422,PERTENCE
1583,423,PERTENCE
1586,425,PERTENCE
1620,422,PERTENCE
1642,422,PERTENCE
1791,422,PERTENCE
1796,423,PERTENCE
1824,424,PERTENCE
1853,423,PERTENCE
1884,424,PERTENCE
1937,424,PERTENCE
2109,422,PERTENCE
2113,422,PERTENCE
2155,422,PERTENCE
2159,425,PERTENCE
2170,422,PERTENCE
2171,422,PERTENCE
2177,424,PERTENCE
2198,422,PERTENCE
2211,425,PERTENCE
2231,423,PERTENCE
2239,425,PERTENCE
2251,422,PERTENCE
2260,424,PERTENCE
2267,422,PERTENCE
2274,422,PERTENCE
2290,422,PERTENCE
2313,422,PERTENCE
2345,422,PERTENCE
2362,425,PERTENCE
2386,422,PERTENCE
2408,422,PERTENCE
2415,422,PERTENCE
2425,422,PERTENCE
2427,422,PERTENCE
2430,422,PERTENCE
2433,422,PERTENCE
2446,422,PERTENCE
2452,425,PERTENCE
2458,425,PERTENCE
2469,425,PERTENCE
2476,422,PERTENCE
2481,422,PERTENCE
2510,422,PERTENCE
2544,422,PERTENCE
2559,425,PERTENCE
2566,422,PERTENCE
2578,422,PERTENCE
2582,422,PERTENCE
2584,424,PERTENCE
2604,422,PERTENCE
2608,425,PERTENCE
2612,422,PERTENCE
2617,425,PERTENCE
2629,424,PERTENCE
2665,422,PERTENCE
2667,422,PERTENCE
2668,422,PERTENCE
2683,426,PERTENCE
2702,422,PERTENCE
2706,424,PERTENCE
2710,422,PERTENCE
2714,422,PERTENCE
2728,422,PERTENCE
2736,422,PERTENCE
2740,423,PERTENCE
2749,425,PERTENCE
2777,422,PERTENCE
2880,424,PERTENCE
2977,425,PERTENCE
2997,422,PERTENCE
3012,422,PERTENCE
3014,422,PERTENCE
3020,422,PERTENCE
3023,425,PERTENCE
3062,425,PERTENCE
3084,422,PERTENCE
3198,423,PERTENCE
3207,425,PERTENCE
3221,422,PERTENCE
3228,422,PERTENCE
3236,423,PERTENCE
3237,425,PERTENCE
3241,425,PERTENCE
3292,422,PERTENCE
3296,422,PERTENCE
3367,423,PERTENCE
3370,422,PERTENCE
3371,422,PERTENCE
3383,422,PERTENCE
3397,427,PERTENCE
3401,422,PERTENCE
3411,425,PERTENCE
3444,424,PERTENCE
3446,424,PERTENCE
3496,422,PERTENCE
3527,422,PERTENCE
3538,422,PERTENCE
3586,422,PERTENCE
3747,422,PERTENCE
3823,422,PERTENCE
3839,425,PERTENCE
3865,422,PERTENCE
3891,423,PERTENCE
3908,422,PERTENCE
3913,422,PERTENCE
3916,422,PERTENCE
3933,423,PERTENCE
3935,422,PERTENCE
3969,422,PERTENCE
4052,422,PERTENCE
4072,422,PERTENCE
4139,422,PERTENCE
4156,422,PERTENCE
4162,423,PERTENCE
4177,422,PERTENCE
4186,422,PERTENCE
4190,422,PERTENCE
4219,424,PERTENCE
4250,422,PERTENCE
4263,422,PERTENCE
4325,424,PERTENCE
4334,422,PERTENCE
4368,423,PERTENCE
4441,422,PERTENCE
4464,425,PERTENCE
4484,422,PERTENCE
4585,422,PERTENCE
4637,422,PERTENCE
4644,422,PERTENCE
4647,425,PERTENCE
4675,422,PERTENCE
4717,424,PERTENCE
4722,422,PERTENCE
4762,423,PERTENCE
4890,422,PERTENCE
4898,423,PERTENCE
4905,422,PERTENCE
4941,422,PERTENCE
5002,422,PERTENCE
5004,422,PERTENCE
5009,422,PERTENCE
5014,425,PERTENCE
5028,422,PERTENCE
5030,424,PERTENCE
5053,424,PERTENCE
5058,423,PERTENCE
5129,423,PERTENCE
5137,425,PERTENCE
5208,422,PERTENCE
5223,422,PERTENCE
5234,422,PERTENCE
5245,422,PERTENCE
5282,422,PERTENCE
5289,422,PERTENCE
5292,425,PERTENCE
5374,422,PERTENCE
5387,424,PERTENCE
5457,424,PERTENCE
5569,422,PERTENCE
5575,425,PERTENCE
5588,424,PERTENCE
5593,422,PERTENCE
5637,422,PERTENCE
5701,422,PERTENCE
5724,422,PERTENCE
5806,422,PERTENCE
5810,423,PERTENCE
5836,422,PERTENCE
5871,424,PERTENCE
5986,422,PERTENCE
6007,422,PERTENCE
6076,423,PERTENCE
6116,425,PERTENCE
6118,422,PERTENCE
6132,423,PERTENCE
6137,425,PERTENCE
6152,424,PERTENCE
6155,422,PERTENCE
6186,426,PERTENCE
6190,425,PERTENCE
6196,422,PERTENCE
6201,422,PERTENCE
6202,423,PERTENCE
6206,422,PERTENCE
6213,424,PERTENCE
6222,422,PERTENCE
6230,425,PERTENCE
6241,424,PERTENCE
6290,423,PERTENCE
6333,422,PERTENCE
6378,422,PERTENCE
6391,422,PERTENCE
6398,422,PERTENCE
6412,422,PERTENCE
6417,422,PERTENCE
6424,424,PERTENCE
6440,427,PERTENCE
6443,423,PERTENCE
6447,423,PERTENCE
6452,422,PERTENCE
6453,422,PERTENCE
6499,427,PERTENCE
6524,427,PERTENCE
6667,422,PERTENCE
6704,422,PERTENCE
6708,422,PERTENCE
6716,422,PERTENCE
6727,424,PERTENCE
6772,423,PERTENCE
6795,422,PERTENCE
6907,423,PERTENCE
6938,422,PERTENCE
6973,424,PERTENCE
7017,425,PERTENCE
7045,424,PERTENCE
7053,422,PERTENCE
7111,427,PERTENCE
7114,424,PERTENCE
7143,422,PERTENCE
7156,422,PERTENCE
7165,422,PERTENCE
7180,422,PERTENCE
7183,422,PERTENCE
7192,424,PERTENCE
7285,424,PERTENCE
7316,423,PERTENCE
7426,422,PERTENCE
7429,423,PERTENCE
7504,422,PERTENCE
7533,422,PERTENCE
7539,422,PERTENCE
7560,422,PERTENCE
7561,425,PERTENCE
7564,422,PERTENCE
7590,422,PERTENCE
7598,422,PERTENCE
7599,424,PERTENCE
7631,423,PERTENCE
7657,422,PERTENCE
7738,422,PERTENCE
7913,422,PERTENCE
7922,422,PERTENCE
7938,424,PERTENCE
7954,422,PERTENCE
7967,423,PERTENCE
7984,425,PERTENCE
8018,423,PERTENCE
8082,422,PERTENCE
8142,422,PERTENCE
8180,423,PERTENCE
8318,422,PERTENCE
8414,422,PERTENCE
8428,422,PERTENCE
8460,422,PERTENCE
8581,422,PERTENCE
8615,424,PERTENCE
8632,422,PERTENCE
8643,427,PERTENCE
8700,422,PERTENCE
8711,424,PERTENCE
8772,422,PERTENCE
8870,422,PERTENCE
8898,422,PERTENCE
8932,422,PERTENCE
8942,424,PERTENCE
8987,422,PERTENCE
8997,425,PERTENCE
9021,424,PERTENCE
9128,425,PERTENCE
9147,422,PERTENCE
9150,422,PERTENCE
9155,427,PERTENCE
9160,424,PERTENCE
9162,422,PERTENCE
9193,422,PERTENCE
9422,422,PERTENCE
9449,424,PERTENCE
9453,424,PERTENCE
9462,423,PERTENCE
9465,422,PERTENCE
9480,424,PERTENCE
9488,422,PERTENCE
9490,422,PERTENCE
9498,426,PERTENCE
9508,423,PERTENCE
9514,422,PERTENCE
9516,422,PERTENCE
9545,422,PERTENCE
9554,423,PERTENCE
9561,422,PERTENCE
9600,425,PERTENCE
9602,422,PERTENCE
9631,424,PERTENCE
9644,427,PERTENCE
9931,425,PERTENCE
9938,425,PERTENCE
9939,427,PERTENCE
9954,425,PERTENCE
