src,dest,relationship
668,450,PERTENCE
688,450,PERTENCE
697,450,PERTENCE
702,451,PERTENCE
703,457,PERTENCE
736,455,PERTENCE
737,450,PERTENCE
766,458,PERTENCE
769,450,PERTENCE
814,466,PERTENCE
952,450,PERTENCE
1006,450,PERTENCE
1044,451,PERTENCE
1051,461,PERTENCE
1123,461,PERTENCE
1135,453,PERTENCE
1158,450,PERTENCE
1159,478,PERTENCE
1169,450,PERTENCE
1175,451,PERTENCE
1224,450,PERTENCE
1238,478,PERTENCE
1303,458,PERTENCE
1434,451,PERTENCE
1443,458,PERTENCE
1474,450,PERTENCE
1496,450,PERTENCE
1536,450,PERTENCE
1538,454,PERTENCE
1541,450,PERTENCE
1565,458,PERTENCE
1582,450,PERTENCE
1583,451,PERTENCE
1586,457,PERTENCE
1620,450,PERTENCE
1642,459,PERTENCE
1791,450,PERTENCE
1796,451,PERTENCE
1824,457,PERTENCE
1853,469,PERTENCE
1884,466,PERTENCE
1937,466,PERTENCE
2109,450,PERTENCE
2113,459,PERTENCE
2155,450,PERTENCE
2159,459,PERTENCE
2170,450,PERTENCE
2171,450,PERTENCE
2177,456,PERTENCE
2198,450,PERTENCE
2211,469,PERTENCE
2231,469,PERTENCE
2239,458,PERTENCE
2251,450,PERTENCE
2260,455,PERTENCE
2267,450,PERTENCE
2274,458,PERTENCE
2290,450,PERTENCE
2313,450,PERTENCE
2345,450,PERTENCE
2362,458,PERTENCE
2386,462,PERTENCE
2408,450,PERTENCE
2415,458,PERTENCE
2425,450,PERTENCE
2427,450,PERTENCE
2430,458,PERTENCE
2433,450,PERTENCE
2446,459,PERTENCE
2452,458,PERTENCE
2458,458,PERTENCE
2469,469,PERTENCE
2476,450,PERTENCE
2481,458,PERTENCE
2510,459,PERTENCE
2544,450,PERTENCE
2559,458,PERTENCE
2566,450,PERTENCE
2578,450,PERTENCE
2582,472,PERTENCE
2584,458,PERTENCE
2604,450,PERTENCE
2608,469,PERTENCE
2612,459,PERTENCE
2617,455,PERTENCE
2629,469,PERTENCE
2665,450,PERTENCE
2667,478,PERTENCE
2668,450,PERTENCE
2683,476,PERTENCE
2702,450,PERTENCE
2706,453,PERTENCE
2710,450,PERTENCE
2714,450,PERTENCE
2728,450,PERTENCE
2736,450,PERTENCE
2740,451,PERTENCE
2749,455,PERTENCE
