src,dest,relationship
668,430,PERTENCE
688,430,PERTENCE
697,430,PERTENCE
702,431,PERTENCE
703,433,PERTENCE
736,433,PERTENCE
737,430,PERTENCE
766,434,PERTENCE
769,430,PERTENCE
814,435,PERTENCE
952,430,PERTENCE
1006,430,PERTENCE
1044,431,PERTENCE
1051,437,PERTENCE
1123,437,PERTENCE
1135,432,PERTENCE
1158,430,PERTENCE
1159,445,PERTENCE
1169,430,PERTENCE
1175,431,PERTENCE
1224,430,PERTENCE
1238,445,PERTENCE
1303,434,PERTENCE
1434,431,PERTENCE
1443,434,PERTENCE
1474,430,PERTENCE
1496,430,PERTENCE
1536,430,PERTENCE
1538,432,PERTENCE
1541,430,PERTENCE
1565,434,PERTENCE
1582,430,PERTENCE
1583,431,PERTENCE
1586,433,PERTENCE
1620,430,PERTENCE
1642,433,PERTENCE
1791,430,PERTENCE
1796,431,PERTENCE
1824,433,PERTENCE
1853,434,PERTENCE
1884,435,PERTENCE
1937,435,PERTENCE
2109,430,PERTENCE
2113,433,PERTENCE
2155,430,PERTENCE
2159,433,PERTENCE
2170,430,PERTENCE
2171,430,PERTENCE
2177,434,PERTENCE
2198,430,PERTENCE
2211,434,PERTENCE
2231,434,PERTENCE
2239,434,PERTENCE
2251,430,PERTENCE
2260,433,PERTENCE
2267,430,PERTENCE
2274,434,PERTENCE
2290,430,PERTENCE
2313,430,PERTENCE
2345,430,PERTENCE
2362,434,PERTENCE
2386,438,PERTENCE
2408,430,PERTENCE
2415,434,PERTENCE
2425,430,PERTENCE
2427,445,PERTENCE
2430,434,PERTENCE
2433,430,PERTENCE
2446,433,PERTENCE
2452,434,PERTENCE
2458,434,PERTENCE
2469,434,PERTENCE
2476,430,PERTENCE
2481,434,PERTENCE
2510,433,PERTENCE
2544,430,PERTENCE
2559,434,PERTENCE
2566,430,PERTENCE
2578,430,PERTENCE
2582,444,PERTENCE
2584,434,PERTENCE
2604,430,PERTENCE
2608,434,PERTENCE
2612,433,PERTENCE
2617,433,PERTENCE
2629,434,PERTENCE
2665,430,PERTENCE
2667,445,PERTENCE
2668,430,PERTENCE
2683,437,PERTENCE
2702,430,PERTENCE
2706,432,PERTENCE
2710,430,PERTENCE
2714,430,PERTENCE
2728,430,PERTENCE
2736,430,PERTENCE
2740,431,PERTENCE
2749,433,PERTENCE
2777,434,PERTENCE
2880,435,PERTENCE
2977,432,PERTENCE
2997,430,PERTENCE
3012,430,PERTENCE
3014,430,PERTENCE
3020,437,PERTENCE
3023,434,PERTENCE
3062,434,PERTENCE
3084,430,PERTENCE
3198,434,PERTENCE
3207,444,PERTENCE
3221,430,PERTENCE
3228,433,PERTENCE
3236,431,PERTENCE
3237,434,PERTENCE
3241,434,PERTENCE
3292,433,PERTENCE
3296,430,PERTENCE
3367,442,PERTENCE
3370,430,PERTENCE
3371,430,PERTENCE
3383,430,PERTENCE
3397,437,PERTENCE
3401,437,PERTENCE
3411,444,PERTENCE
3444,434,PERTENCE
3446,434,PERTENCE
3496,430,PERTENCE
3527,430,PERTENCE
3538,430,PERTENCE
3586,430,PERTENCE
3747,430,PERTENCE
3823,430,PERTENCE
3839,433,PERTENCE
3865,437,PERTENCE
3891,431,PERTENCE
3908,433,PERTENCE
3913,430,PERTENCE
3916,437,PERTENCE
3933,431,PERTENCE
3935,430,PERTENCE
3969,430,PERTENCE
4052,430,PERTENCE
4072,430,PERTENCE
4139,430,PERTENCE
4156,430,PERTENCE
4162,431,PERTENCE
4177,444,PERTENCE
4186,430,PERTENCE
4190,430,PERTENCE
4219,433,PERTENCE
4250,434,PERTENCE
4263,430,PERTENCE
4325,434,PERTENCE
4334,430,PERTENCE
4368,434,PERTENCE
4441,430,PERTENCE
4464,441,PERTENCE
4484,430,PERTENCE
4585,430,PERTENCE
4637,430,PERTENCE
4644,430,PERTENCE
4647,441,PERTENCE
4675,430,PERTENCE
4717,435,PERTENCE
4722,433,PERTENCE
4762,431,PERTENCE
4890,430,PERTENCE
4898,431,PERTENCE
4905,434,PERTENCE
4941,430,PERTENCE
5002,430,PERTENCE
5004,430,PERTENCE
5009,434,PERTENCE
5014,435,PERTENCE
5028,430,PERTENCE
5030,432,PERTENCE
5053,439,PERTENCE
5058,431,PERTENCE
5129,431,PERTENCE
5137,444,PERTENCE
5208,430,PERTENCE
5223,437,PERTENCE
5234,430,PERTENCE
5245,433,PERTENCE
5282,430,PERTENCE
5289,435,PERTENCE
5292,432,PERTENCE
5374,430,PERTENCE
5387,432,PERTENCE
5457,432,PERTENCE
5569,434,PERTENCE
5575,432,PERTENCE
5588,431,PERTENCE
5593,447,PERTENCE
5637,434,PERTENCE
5701,430,PERTENCE
5724,430,PERTENCE
5806,430,PERTENCE
5810,431,PERTENCE
5836,430,PERTENCE
5871,434,PERTENCE
5986,430,PERTENCE
6007,430,PERTENCE
6076,431,PERTENCE
6116,438,PERTENCE
6118,430,PERTENCE
6132,434,PERTENCE
6137,434,PERTENCE
6152,434,PERTENCE
6155,430,PERTENCE
6186,437,PERTENCE
6190,434,PERTENCE
6196,434,PERTENCE
6201,441,PERTENCE
6202,434,PERTENCE
6206,433,PERTENCE
6213,433,PERTENCE
6222,434,PERTENCE
6230,434,PERTENCE
6241,435,PERTENCE
6290,431,PERTENCE
6333,434,PERTENCE
6378,434,PERTENCE
6391,430,PERTENCE
6398,430,PERTENCE
6412,430,PERTENCE
6417,430,PERTENCE
6424,432,PERTENCE
6440,437,PERTENCE
6443,434,PERTENCE
6447,431,PERTENCE
6452,430,PERTENCE
6453,437,PERTENCE
6499,437,PERTENCE
6524,437,PERTENCE
6667,430,PERTENCE
6704,430,PERTENCE
6708,434,PERTENCE
6716,434,PERTENCE
6727,434,PERTENCE
6772,435,PERTENCE
6795,444,PERTENCE
6907,431,PERTENCE
6938,437,PERTENCE
6973,435,PERTENCE
7017,441,PERTENCE
7045,439,PERTENCE
7053,430,PERTENCE
7111,437,PERTENCE
7114,431,PERTENCE
7143,430,PERTENCE
7156,434,PERTENCE
7165,434,PERTENCE
7180,434,PERTENCE
7183,430,PERTENCE
7192,435,PERTENCE
7285,432,PERTENCE
7316,431,PERTENCE
7426,430,PERTENCE
7429,431,PERTENCE
7504,430,PERTENCE
7533,434,PERTENCE
7539,430,PERTENCE
7560,430,PERTENCE
7561,433,PERTENCE
7564,434,PERTENCE
7590,444,PERTENCE
7598,430,PERTENCE
7599,431,PERTENCE
7631,431,PERTENCE
7657,430,PERTENCE
7738,430,PERTENCE
7913,430,PERTENCE
7922,430,PERTENCE
7938,439,PERTENCE
7954,430,PERTENCE
7967,431,PERTENCE
7984,438,PERTENCE
8018,431,PERTENCE
8082,430,PERTENCE
8142,430,PERTENCE
8180,431,PERTENCE
8318,434,PERTENCE
8414,430,PERTENCE
8428,430,PERTENCE
8460,430,PERTENCE
8581,434,PERTENCE
8615,434,PERTENCE
8632,430,PERTENCE
8643,437,PERTENCE
8700,430,PERTENCE
8711,435,PERTENCE
8772,430,PERTENCE
8870,437,PERTENCE
8898,430,PERTENCE
8932,430,PERTENCE
8942,444,PERTENCE
8987,437,PERTENCE
8997,434,PERTENCE
9021,432,PERTENCE
9128,432,PERTENCE
9147,430,PERTENCE
9150,430,PERTENCE
9155,435,PERTENCE
9160,432,PERTENCE
9162,430,PERTENCE
9193,430,PERTENCE
9422,433,PERTENCE
9449,434,PERTENCE
9453,432,PERTENCE
9462,431,PERTENCE
9465,430,PERTENCE
9480,434,PERTENCE
9488,430,PERTENCE
9490,430,PERTENCE
9498,440,PERTENCE
9508,434,PERTENCE
9514,434,PERTENCE
9516,430,PERTENCE
9545,434,PERTENCE
9554,431,PERTENCE
9561,430,PERTENCE
9600,434,PERTENCE
9602,433,PERTENCE
9631,438,PERTENCE
9644,434,PERTENCE
9931,434,PERTENCE
9938,438,PERTENCE
9939,443,PERTENCE
9954,432,PERTENCE
10134,430,PERTENCE
10174,432,PERTENCE
10189,437,PERTENCE
10249,434,PERTENCE
10299,430,PERTENCE
10377,434,PERTENCE
10399,430,PERTENCE
10537,430,PERTENCE
10629,430,PERTENCE
10666,437,PERTENCE
10708,438,PERTENCE
10710,431,PERTENCE
10741,430,PERTENCE
10806,434,PERTENCE
10812,433,PERTENCE
10816,434,PERTENCE
10862,433,PERTENCE
10863,434,PERTENCE
10865,432,PERTENCE
10882,434,PERTENCE
10898,444,PERTENCE
10984,430,PERTENCE
11011,430,PERTENCE
11021,430,PERTENCE
11033,430,PERTENCE
11066,430,PERTENCE
11101,430,PERTENCE
11159,430,PERTENCE
11163,431,PERTENCE
11197,432,PERTENCE
11313,445,PERTENCE
11359,430,PERTENCE
11363,435,PERTENCE
11392,430,PERTENCE
11413,434,PERTENCE
11429,430,PERTENCE
11472,430,PERTENCE
11473,434,PERTENCE
11477,437,PERTENCE
11532,444,PERTENCE
11557,430,PERTENCE
11664,430,PERTENCE
11677,430,PERTENCE
11707,434,PERTENCE
11713,433,PERTENCE
11761,434,PERTENCE
11780,434,PERTENCE
11830,434,PERTENCE
11836,434,PERTENCE
11864,434,PERTENCE
11875,430,PERTENCE
11906,434,PERTENCE
11911,430,PERTENCE
11944,441,PERTENCE
11946,434,PERTENCE
11961,433,PERTENCE
11977,434,PERTENCE
12039,434,PERTENCE
12072,434,PERTENCE
12242,434,PERTENCE
12260,431,PERTENCE
12266,431,PERTENCE
12303,438,PERTENCE
12361,445,PERTENCE
12396,430,PERTENCE
12403,431,PERTENCE
12406,430,PERTENCE
12462,435,PERTENCE
12477,430,PERTENCE
12492,433,PERTENCE
12518,430,PERTENCE
12522,431,PERTENCE
12530,431,PERTENCE
12562,432,PERTENCE
12686,432,PERTENCE
12715,439,PERTENCE
12721,435,PERTENCE
12738,437,PERTENCE
12751,438,PERTENCE
12753,439,PERTENCE
12760,445,PERTENCE
12764,436,PERTENCE
12774,437,PERTENCE
12820,433,PERTENCE
12829,432,PERTENCE
13034,433,PERTENCE
13070,434,PERTENCE
13127,430,PERTENCE
13131,430,PERTENCE
13166,430,PERTENCE
13189,433,PERTENCE
13296,430,PERTENCE
13311,434,PERTENCE
13315,433,PERTENCE
13325,433,PERTENCE
13332,431,PERTENCE
13378,430,PERTENCE
13387,430,PERTENCE
13558,430,PERTENCE
13721,431,PERTENCE
13756,439,PERTENCE
13925,435,PERTENCE
13988,434,PERTENCE
14062,435,PERTENCE
14077,430,PERTENCE
14081,439,PERTENCE
14101,441,PERTENCE
14207,430,PERTENCE
14280,430,PERTENCE
14286,433,PERTENCE
14288,430,PERTENCE
14313,430,PERTENCE
14344,430,PERTENCE
14388,430,PERTENCE
14395,433,PERTENCE
14468,434,PERTENCE
14479,431,PERTENCE
14492,440,PERTENCE
14508,430,PERTENCE
14542,430,PERTENCE
14546,439,PERTENCE
14596,444,PERTENCE
14610,432,PERTENCE
14616,431,PERTENCE
14633,434,PERTENCE
14693,430,PERTENCE
14760,434,PERTENCE
14777,431,PERTENCE
14780,435,PERTENCE
14788,434,PERTENCE
14844,430,PERTENCE
14851,435,PERTENCE
14854,430,PERTENCE
