src,dest,relationship
668,535,PERTENCE
688,502,PERTENCE
697,538,PERTENCE
702,529,PERTENCE
703,538,PERTENCE
736,507,PERTENCE
737,504,PERTENCE
766,507,PERTENCE
769,507,PERTENCE
814,538,PERTENCE
952,504,PERTENCE
1006,509,PERTENCE
1044,525,PERTENCE
1051,523,PERTENCE
1123,505,PERTENCE
1135,505,PERTENCE
1158,505,PERTENCE
1159,505,PERTENCE
1169,501,PERTENCE
1175,501,PERTENCE
1224,513,PERTENCE
1238,503,PERTENCE
1303,505,PERTENCE
1434,524,PERTENCE
1443,525,PERTENCE
1474,524,PERTENCE
1496,525,PERTENCE
1536,502,PERTENCE
1538,502,PERTENCE
1541,502,PERTENCE
1565,549,PERTENCE
1582,503,PERTENCE
1583,503,PERTENCE
1586,503,PERTENCE
1620,528,PERTENCE
1642,505,PERTENCE
1791,500,PERTENCE
1796,500,PERTENCE
1824,505,PERTENCE
1853,528,PERTENCE
1884,525,PERTENCE
1937,521,PERTENCE
2109,504,PERTENCE
2113,504,PERTENCE
2155,516,PERTENCE
2159,503,PERTENCE
2170,542,PERTENCE
2171,517,PERTENCE
2177,542,PERTENCE
2198,507,PERTENCE
2211,507,PERTENCE
2231,507,PERTENCE
2239,507,PERTENCE
2251,525,PERTENCE
2260,507,PERTENCE
2267,507,PERTENCE
2274,507,PERTENCE
2290,507,PERTENCE
2313,504,PERTENCE
2345,541,PERTENCE
2362,507,PERTENCE
2386,508,PERTENCE
2408,536,PERTENCE
2415,507,PERTENCE
2425,507,PERTENCE
2427,507,PERTENCE
2430,507,PERTENCE
2433,512,PERTENCE
2446,507,PERTENCE
2452,507,PERTENCE
2458,507,PERTENCE
2469,507,PERTENCE
2476,517,PERTENCE
2481,507,PERTENCE
2510,507,PERTENCE
2544,507,PERTENCE
2559,507,PERTENCE
2566,522,PERTENCE
2578,507,PERTENCE
2582,507,PERTENCE
2584,507,PERTENCE
2604,507,PERTENCE
2608,507,PERTENCE
2612,507,PERTENCE
2617,507,PERTENCE
2629,507,PERTENCE
2665,507,PERTENCE
2667,522,PERTENCE
2668,507,PERTENCE
2683,522,PERTENCE
2702,523,PERTENCE
2706,505,PERTENCE
2710,504,PERTENCE
2714,504,PERTENCE
2728,507,PERTENCE
2736,507,PERTENCE
2740,507,PERTENCE
2749,507,PERTENCE
2777,507,PERTENCE
2880,524,PERTENCE
2977,525,PERTENCE
2997,537,PERTENCE
3012,542,PERTENCE
3014,504,PERTENCE
3020,503,PERTENCE
3023,507,PERTENCE
3062,507,PERTENCE
3084,503,PERTENCE
3198,529,PERTENCE
3207,529,PERTENCE
3221,507,PERTENCE
3228,507,PERTENCE
3236,529,PERTENCE
3237,507,PERTENCE
3241,507,PERTENCE
3292,507,PERTENCE
3296,502,PERTENCE
3367,540,PERTENCE
3370,501,PERTENCE
3371,501,PERTENCE
3383,525,PERTENCE
3397,525,PERTENCE
3401,525,PERTENCE
3411,506,PERTENCE
3444,523,PERTENCE
3446,523,PERTENCE
3496,529,PERTENCE
3527,508,PERTENCE
3538,528,PERTENCE
3586,533,PERTENCE
3747,501,PERTENCE
3823,503,PERTENCE
3839,503,PERTENCE
3865,503,PERTENCE
3891,503,PERTENCE
3908,524,PERTENCE
3913,524,PERTENCE
3916,503,PERTENCE
3933,525,PERTENCE
3935,500,PERTENCE
3969,525,PERTENCE
4052,545,PERTENCE
4072,505,PERTENCE
4139,507,PERTENCE
4156,524,PERTENCE
4162,524,PERTENCE
4177,507,PERTENCE
4186,507,PERTENCE
4190,525,PERTENCE
4219,505,PERTENCE
4250,505,PERTENCE
4263,542,PERTENCE
4325,507,PERTENCE
4334,517,PERTENCE
4368,507,PERTENCE
4441,502,PERTENCE
4464,502,PERTENCE
4484,535,PERTENCE
4585,502,PERTENCE
4637,506,PERTENCE
4644,504,PERTENCE
4647,514,PERTENCE
4675,537,PERTENCE
4717,514,PERTENCE
4722,505,PERTENCE
4762,514,PERTENCE
4890,524,PERTENCE
4898,524,PERTENCE
4905,524,PERTENCE
4941,554,PERTENCE
5002,504,PERTENCE
5004,504,PERTENCE
5009,524,PERTENCE
5014,534,PERTENCE
5028,581,PERTENCE
5030,503,PERTENCE
5053,581,PERTENCE
5058,505,PERTENCE
5129,524,PERTENCE
5137,524,PERTENCE
5208,547,PERTENCE
5223,524,PERTENCE
5234,502,PERTENCE
5245,524,PERTENCE
5282,507,PERTENCE
5289,524,PERTENCE
5292,507,PERTENCE
5374,501,PERTENCE
5387,501,PERTENCE
5457,501,PERTENCE
5569,524,PERTENCE
5575,524,PERTENCE
5588,524,PERTENCE
5593,524,PERTENCE
5637,505,PERTENCE
5701,501,PERTENCE
5724,521,PERTENCE
5806,501,PERTENCE
5810,501,PERTENCE
5836,521,PERTENCE
5871,521,PERTENCE
5986,546,PERTENCE
6007,505,PERTENCE
6076,503,PERTENCE
6116,533,PERTENCE
6118,507,PERTENCE
6132,507,PERTENCE
6137,507,PERTENCE
6152,569,PERTENCE
6155,521,PERTENCE
6186,562,PERTENCE
6190,507,PERTENCE
6196,507,PERTENCE
6201,533,PERTENCE
6202,507,PERTENCE
6206,507,PERTENCE
6213,507,PERTENCE
6222,507,PERTENCE
6230,507,PERTENCE
6241,501,PERTENCE
6290,500,PERTENCE
6333,507,PERTENCE
6378,507,PERTENCE
6391,507,PERTENCE
6398,507,PERTENCE
6412,528,PERTENCE
6417,521,PERTENCE
6424,521,PERTENCE
6440,501,PERTENCE
6443,528,PERTENCE
6447,501,PERTENCE
6452,501,PERTENCE
6453,501,PERTENCE
6499,501,PERTENCE
6524,551,PERTENCE
6667,502,PERTENCE
6704,534,PERTENCE
6708,534,PERTENCE
6716,505,PERTENCE
6727,534,PERTENCE
6772,534,PERTENCE
6795,534,PERTENCE
6907,534,PERTENCE
6938,525,PERTENCE
6973,534,PERTENCE
7017,534,PERTENCE
7045,534,PERTENCE
7053,524,PERTENCE
7111,524,PERTENCE
7114,524,PERTENCE
7143,521,PERTENCE
7156,524,PERTENCE
7165,521,PERTENCE
7180,524,PERTENCE
7183,524,PERTENCE
7192,505,PERTENCE
7285,501,PERTENCE
7316,501,PERTENCE
7426,524,PERTENCE
7429,524,PERTENCE
7504,517,PERTENCE
7533,521,PERTENCE
7539,521,PERTENCE
7560,525,PERTENCE
7561,521,PERTENCE
7564,520,PERTENCE
7590,525,PERTENCE
7598,502,PERTENCE
7599,525,PERTENCE
7631,529,PERTENCE
7657,529,PERTENCE
7738,506,PERTENCE
7913,590,PERTENCE
7922,512,PERTENCE
7938,512,PERTENCE
7954,501,PERTENCE
7967,590,PERTENCE
7984,590,PERTENCE
8018,529,PERTENCE
8082,523,PERTENCE
8142,525,PERTENCE
8180,529,PERTENCE
8318,538,PERTENCE
8414,538,PERTENCE
8428,501,PERTENCE
8460,524,PERTENCE
8581,549,PERTENCE
8615,521,PERTENCE
8632,544,PERTENCE
8643,501,PERTENCE
8700,525,PERTENCE
8711,525,PERTENCE
8772,523,PERTENCE
8870,565,PERTENCE
8898,524,PERTENCE
8932,534,PERTENCE
8942,534,PERTENCE
8987,505,PERTENCE
8997,521,PERTENCE
9021,505,PERTENCE
9128,505,PERTENCE
9147,500,PERTENCE
9150,504,PERTENCE
9155,581,PERTENCE
9160,581,PERTENCE
9162,524,PERTENCE
9193,525,PERTENCE
9422,507,PERTENCE
9449,507,PERTENCE
9453,574,PERTENCE
9462,507,PERTENCE
9465,542,PERTENCE
9480,507,PERTENCE
9488,541,PERTENCE
9490,507,PERTENCE
9498,541,PERTENCE
9508,507,PERTENCE
9514,521,PERTENCE
9516,503,PERTENCE
9545,521,PERTENCE
9554,507,PERTENCE
9561,507,PERTENCE
9600,507,PERTENCE
9602,507,PERTENCE
9631,517,PERTENCE
9644,507,PERTENCE
9931,507,PERTENCE
9938,590,PERTENCE
9939,512,PERTENCE
9954,512,PERTENCE
10134,523,PERTENCE
10174,521,PERTENCE
10189,525,PERTENCE
10249,507,PERTENCE
10299,523,PERTENCE
10377,551,PERTENCE
10399,542,PERTENCE
10537,538,PERTENCE
10629,514,PERTENCE
10666,514,PERTENCE
10708,542,PERTENCE
10710,537,PERTENCE
10741,546,PERTENCE
10806,507,PERTENCE
10812,507,PERTENCE
10816,528,PERTENCE
10862,546,PERTENCE
10863,514,PERTENCE
10865,528,PERTENCE
10882,528,PERTENCE
10898,528,PERTENCE
