src,dest,relationship
1000015,77370,['buy']
1000015,19290,['buy']
1000015,7598,['buy']
1000015,68796,['buy']
1000015,54040,['buy']
1000015,58362,['buy']
1000067,77633,['buy']
1000067,39505,['buy']
1000067,54903,['buy']
1000067,54484,['buy']
1000067,40093,['buy']
1000067,37438,['buy']
1000067,14077,['buy']
1000067,29420,['buy']
1000067,2702,['buy']
1000067,53298,['buy']
1000067,1051,['buy']
1000067,20839,['buy']
1000067,45851,['buy']
1000067,37604,['buy']
1000067,29599,['buy']
1000067,47141,['buy']
1000067,49406,['buy']
1000067,40880,['buy']
1000067,39009,['buy']
1000067,67379,['buy']
1000067,54082,['buy']
1000067,11313,['buy']
1000067,50070,['buy']
1000067,38224,['buy']
1000073,12361,['buy']
1000073,55564,['buy']
1000073,62748,['buy']
1000073,54549,['buy']
1000073,56928,['buy']
1000073,68178,['buy']
1000073,63553,['buy']
1000073,26417,['buy']
1000073,88950,['buy']
1000073,64377,['buy']
1000073,5009,['buy']
1000073,5223,['buy']
1000073,10865,['buy']
1000073,5245,['buy']
1000073,5289,['buy']
1000073,10865,['buy']
1000073,6391,['buy']
1000073,53645,['buy']
1000073,66130,['buy']
1000073,75069,['buy']
1000073,64745,['buy']
1000073,95513,['buy']
1000073,61408,['buy']
1000073,17203,['buy']
1000073,1123,['buy']
1000073,3237,['buy']
1000073,16783,['buy']
1000073,69802,['buy']
1000073,55036,['buy']
1000073,3237,['buy']
1000073,45871,['buy']
1000073,50881,['buy']
1000073,50901,['buy']
1000073,44750,['buy']
1000073,60549,['buy']
1000073,45887,['buy']
1000073,15254,['buy']
1000073,15242,['buy']
1000087,77319,['buy']
1000096,48014,['buy']
1000096,68881,['buy']
1000096,70163,['buy']
1000096,89641,['buy']
1000096,96744,['buy']
1000096,91498,['buy']
1000096,94034,['buy']
1000096,100222,['buy']
1000096,100319,['buy']
1000096,34825,['buy']
1000096,77976,['buy']
1000096,24340,['buy']
1000096,104127,['buy']
1000096,77976,['buy']
1000096,102716,['buy']
1000096,103056,['buy']
1000096,86621,['buy']
1000096,100025,['buy']
1000096,88816,['buy']
1000096,87327,['buy']
1000096,94820,['buy']
1000096,87313,['buy']
1000096,50149,['buy']
1000096,73779,['buy']
1000096,49916,['buy']
1000096,34805,['buy']
1000096,21686,['buy']
1000096,64777,['buy']
1000096,23033,['buy']
1000096,22081,['buy']
1000096,70356,['buy']
1000096,22077,['buy']
1000096,34801,['buy']
1000096,7913,['buy']
1000096,20186,['buy']
1000096,103119,['buy']
1000096,3296,['buy']
1000096,40707,['buy']
1000096,87348,['buy']
1000096,99718,['buy']
1000096,73266,['buy']
1000096,102566,['buy']
1000096,105772,['buy']
1000096,103634,['buy']
1000096,54872,['buy']
1000096,97138,['buy']
1000096,97447,['buy']
1000096,97436,['buy']
1000096,100331,['buy']
1000096,29837,['buy']
1000096,51974,['buy']
1000096,41592,['buy']
1000096,3228,['buy']
1000096,9488,['buy']
1000096,50532,['buy']
1000096,9498,['buy']
1000096,4722,['buy']
1000096,13332,['buy']
1000096,43644,['buy']
1000096,13131,['buy']
1000096,33715,['buy']
1000096,10299,['buy']
1000096,35229,['buy']
1000096,10134,['buy']
1000096,35223,['buy']
1000096,44354,['buy']
1000096,8142,['buy']
1000096,17461,['buy']
1000096,7564,['buy']
1000096,10741,['buy']
1000096,60445,['buy']
1000096,24848,['buy']
1000096,88462,['buy']
1000096,10537,['buy']
1000096,20393,['buy']
1000096,83932,['buy']
1000096,86786,['buy']
1000096,97402,['buy']
1000096,86369,['buy']
1000096,7598,['buy']
1000096,57558,['buy']
1000096,31215,['buy']
1000096,63424,['buy']
1000096,13311,['buy']
1000096,13325,['buy']
1000096,90973,['buy']
1000096,80962,['buy']
1000096,87941,['buy']
1000096,70424,['buy']
1000096,85929,['buy']
1000096,92037,['buy']
1000096,59130,['buy']
1000096,70736,['buy']
1000096,82644,['buy']
1000096,82651,['buy']
1000097,38471,['buy']
1000113,13296,['buy']
1000113,36961,['buy']
1000113,17079,['buy']
1000113,56121,['buy']
1000113,58713,['buy']
1000113,57717,['buy']
1000113,58685,['buy']
1000113,58606,['buy']
1000113,8018,['buy']
1000113,52309,['buy']
1000113,96043,['buy']
1000113,95132,['buy']
1000113,86244,['buy']
1000113,58748,['buy']
1000113,58743,['buy']
1000113,1642,['buy']
1000113,10629,['buy']
1000113,35511,['buy']
1000113,10666,['buy']
1000113,89699,['buy']
1000113,70459,['buy']
1000113,73652,['buy']
1000113,64578,['buy']
1000113,86244,['buy']
1000113,77593,['buy']
1000113,79411,['buy']
1000113,11713,['buy']
1000113,64824,['buy']
1000113,101567,['buy']
1000113,71286,['buy']
1000113,86507,['buy']
1000113,101567,['buy']
1000113,54173,['buy']
1000123,49036,['buy']
1000123,61794,['buy']
1000127,45793,['buy']
1000127,6716,['buy']
1000128,84365,['buy']
1000128,72994,['buy']
1000128,99031,['buy']
1000128,103857,['buy']
1000128,99254,['buy']
1000131,46352,['buy']
1000131,66137,['buy']
1000131,64133,['buy']
1000131,44845,['buy']
1000131,60376,['buy']
1000131,5002,['buy']
1000131,66130,['buy']
1000131,52205,['buy']
1000131,66137,['buy']
1000131,53846,['buy']
1000131,66130,['buy']
1000131,53610,['buy']
1000131,44697,['buy']
1000131,44754,['buy']
1000131,44684,['buy']
1000131,44754,['buy']
1000146,56688,['buy']
1000146,56688,['buy']
1000146,82819,['buy']
1000146,82819,['buy']
1000146,65601,['buy']
1000146,65600,['buy']
1000146,63950,['buy']
1000146,18520,['buy']
1000146,18520,['buy']
1000152,9453,['buy']
1000152,20560,['buy']
1000152,64096,['buy']
1000152,65530,['buy']
1000152,65523,['buy']
1000152,79644,['buy']
1000152,68410,['buy']
1000152,66304,['buy']
1000152,66301,['buy']
1000152,29676,['buy']
1000152,99881,['buy']
1000152,58726,['buy']
1000152,103744,['buy']
1000152,103744,['buy']
1000152,14286,['buy']
1000152,21464,['buy']
1000152,3292,['buy']
1000152,34984,['buy']
1000152,19727,['buy']
1000152,12396,['buy']
1000152,15813,['buy']
1000152,40629,['buy']
1000152,2446,['buy']
1000152,48847,['buy']
1000152,35814,['buy']
1000152,41828,['buy']
1000152,48226,['buy']
1000152,17114,['buy']
1000152,2544,['buy']
1000152,61524,['buy']
1000152,20061,['buy']
1000152,2458,['buy']
1000152,56007,['buy']
1000152,45666,['buy']
1000152,77757,['buy']
1000152,88600,['buy']
1000152,73022,['buy']
1000152,2578,['buy']
1000152,39216,['buy']
